Version|Variant|Milliseconds|Ticks|ItemCount
3|1|1322|13229258|1000000
3|1|1098|10979043|1000000
3|1|866|8652941|1000000
3|1|1092|10927575|1000000
3|1|1136|11356440|1000000
3|1|1156|11559534|1000000
3|1|821|8212499|1000000
3|1|926|9254134|1000000
3|1|866|8662076|1000000
3|1|894|8942806|1000000
3|1|874|8734407|1000000
3|1|843|8431769|1000000
3|1|923|9233484|1000000
3|1|837|8367977|1000000
3|1|863|8628137|1000000
3|1|837|8373452|1000000
3|1|878|8774932|1000000
3|1|832|8319989|1000000
3|1|917|9170300|1000000
3|1|878|8781368|1000000
3|1|898|8980954|1000000
3|1|847|8467667|1000000
3|1|879|8798801|1000000
3|1|841|8405782|1000000
3|1|866|8661907|1000000
3|1|1003|10025078|1000000
3|1|841|8416504|1000000
3|1|918|9180246|1000000
3|1|843|8429581|1000000
3|1|888|8881046|1000000
3|1|870|8697643|1000000
3|1|871|8705027|1000000
3|1|826|8266466|1000000
3|1|884|8831486|1000000
3|1|816|8161718|1000000
3|1|873|8730430|1000000
3|1|847|8468454|1000000
3|1|860|8605890|1000000
3|1|878|8782500|1000000
3|1|832|8316753|1000000
3|1|865|8646997|1000000
3|1|827|8268377|1000000
3|1|882|8822722|1000000
3|1|829|8287959|1000000
3|1|902|9025742|1000000
3|1|828|8276383|1000000
3|1|897|8974989|1000000
3|1|849|8486946|1000000
3|1|892|8915728|1000000
3|1|833|8337177|1000000
3|1|987|9863283|1000000
3|1|877|8767949|1000000
3|1|905|9059579|1000000
3|1|935|9349863|1000000
3|1|883|8827813|1000000
3|1|1094|10941752|1000000
3|1|1013|10126353|1000000
3|1|926|9261465|1000000
3|1|849|8483558|1000000
3|1|926|9260553|1000000
3|1|881|8812004|1000000
3|1|925|9255630|1000000
3|1|895|8941686|1000000
3|1|936|9364427|1000000
3|1|836|8363489|1000000
3|1|975|9751065|1000000
3|1|877|8769985|1000000
3|1|877|8766292|1000000
3|1|901|9011836|1000000
3|1|938|9376285|1000000
3|1|915|9150575|1000000
3|1|865|8653240|1000000
3|1|917|9163523|1000000
3|1|878|8781668|1000000
3|1|1059|10595013|1000000
3|1|1016|10159611|1000000
3|1|943|9427546|1000000
3|1|858|8584786|1000000
3|1|865|8642225|1000000
3|1|846|8460988|1000000
3|1|856|8562996|1000000
3|1|880|8797002|1000000
3|1|821|8214208|1000000
3|1|870|8694310|1000000
3|1|828|8278414|1000000
3|1|967|9674935|1000000
3|1|964|9644143|1000000
3|1|893|8925184|1000000
3|1|822|8219131|1000000
3|1|867|8669376|1000000
3|1|823|8235633|1000000
3|1|943|9421817|1000000
3|1|858|8587036|1000000
3|1|855|8547880|1000000
3|1|945|9452449|1000000
3|1|886|8856854|1000000
3|1|923|9232883|1000000
3|1|849|8487037|1000000
3|1|936|9358396|1000000
3|1|1043|10431491|1000000
4|1|521|5218188|1000000
4|1|516|5158510|1000000
4|1|485|4846013|1000000
4|1|515|5156427|1000000
4|1|481|4804498|1000000
4|1|516|5156948|1000000
4|1|462|4629295|1000000
4|1|502|5013110|1000000
4|1|467|4671025|1000000
4|1|505|5053299|1000000
4|1|489|4891932|1000000
4|1|510|5097664|1000000
4|1|476|4753940|1000000
4|1|508|5087941|1000000
4|1|466|4656704|1000000
4|1|508|5082452|1000000
4|1|471|4710115|1000000
4|1|509|5085329|1000000
4|1|475|4755036|1000000
4|1|522|5214048|1000000
4|1|490|4903762|1000000
4|1|530|5299205|1000000
4|1|529|5285807|1000000
4|1|595|5955185|1000000
4|1|481|4804189|1000000
4|1|581|5811381|1000000
4|1|633|6334647|1000000
4|1|591|5905282|1000000
4|1|510|5103406|1000000
4|1|517|5168725|1000000
4|1|457|4574683|1000000
4|1|515|5148525|1000000
4|1|462|4621447|1000000
4|1|502|5018372|1000000
4|1|465|4652774|1000000
4|1|495|4949022|1000000
4|1|454|4536522|1000000
4|1|497|4972755|1000000
4|1|461|4603930|1000000
4|1|497|4971083|1000000
4|1|473|4734200|1000000
4|1|530|5298091|1000000
4|1|481|4812658|1000000
4|1|497|4963351|1000000
4|1|460|4601814|1000000
4|1|501|5013371|1000000
4|1|458|4576667|1000000
4|1|501|5008568|1000000
4|1|478|4780537|1000000
4|1|508|5078397|1000000
4|1|463|4630714|1000000
4|1|497|4971791|1000000
4|1|469|4690578|1000000
4|1|492|4917963|1000000
4|1|458|4587500|1000000
4|1|528|5279887|1000000
4|1|465|4642761|1000000
4|1|503|5031706|1000000
4|1|487|4872536|1000000
4|1|517|5167085|1000000
4|1|483|4836420|1000000
4|1|503|5026729|1000000
4|1|475|4746988|1000000
4|1|503|5032560|1000000
4|1|464|4634861|1000000
4|1|507|5075472|1000000
4|1|477|4768355|1000000
4|1|512|5123320|1000000
4|1|462|4615231|1000000
4|1|505|5047623|1000000
4|1|488|4885136|1000000
4|1|502|5015020|1000000
4|1|456|4566806|1000000
4|1|506|5059428|1000000
4|1|457|4570223|1000000
4|1|514|5140422|1000000
4|1|481|4810363|1000000
4|1|550|5493294|1000000
4|1|493|4938137|1000000
4|1|507|5068797|1000000
4|1|461|4605888|1000000
4|1|512|5125107|1000000
4|1|453|4521376|1000000
4|1|536|5365260|1000000
4|1|463|4626069|1000000
4|1|517|5169587|1000000
4|1|455|4553999|1000000
4|1|527|5264352|1000000
4|1|461|4613287|1000000
4|1|553|5527992|1000000
4|1|471|4709739|1000000
4|1|514|5147753|1000000
4|1|468|4673714|1000000
4|1|499|4994982|1000000
4|1|455|4544809|1000000
4|1|512|5125932|1000000
4|1|464|4640468|1000000
4|1|507|5066717|1000000
4|1|460|4598297|1000000
4|1|502|5016350|1000000
4|2|467|4675704|1000000
4|2|507|5067748|1000000
4|2|460|4599969|1000000
4|2|505|5055030|1000000
4|2|476|4752490|1000000
4|2|505|5055965|1000000
4|2|474|4735667|1000000
4|2|503|5036788|1000000
4|2|473|4726632|1000000
4|2|510|5096441|1000000
4|2|462|4627063|1000000
4|2|506|5057115|1000000
4|2|481|4804219|1000000
4|2|506|5066829|1000000
4|2|462|4613225|1000000
4|2|513|5132972|1000000
4|2|497|4967029|1000000
4|2|499|4993614|1000000
4|2|464|4643181|1000000
4|2|504|5034926|1000000
4|2|466|4662483|1000000
4|2|505|5051321|1000000
4|2|468|4675880|1000000
4|2|507|5067997|1000000
4|2|465|4659063|1000000
4|2|505|5042914|1000000
4|2|465|4648789|1000000
4|2|512|5120830|1000000
4|2|511|5115836|1000000
4|2|583|5831906|1000000
4|2|504|5034127|1000000
4|2|517|5167282|1000000
4|2|464|4640354|1000000
4|2|545|5452304|1000000
4|2|494|4942480|1000000
4|2|533|5333811|1000000
4|2|468|4676830|1000000
4|2|506|5057162|1000000
4|2|479|4789279|1000000
4|2|518|5176956|1000000
4|2|467|4673138|1000000
4|2|523|5230750|1000000
4|2|481|4806917|1000000
4|2|515|5155908|1000000
4|2|478|4773300|1000000
4|2|512|5124691|1000000
4|2|465|4652381|1000000
4|2|513|5123986|1000000
4|2|483|4831030|1000000
4|2|515|5155913|1000000
4|2|477|4762032|1000000
4|2|516|5159749|1000000
4|2|460|4602368|1000000
4|2|507|5077278|1000000
4|2|478|4775101|1000000
4|2|511|5112009|1000000
4|2|470|4701318|1000000
4|2|521|5211893|1000000
4|2|513|5129971|1000000
4|2|527|5267399|1000000
4|2|477|4772224|1000000
4|2|509|5081238|1000000
4|2|468|4686371|1000000
4|2|506|5058789|1000000
4|2|475|4752828|1000000
4|2|506|5056419|1000000
4|2|473|4726518|1000000
4|2|516|5165411|1000000
4|2|489|4891580|1000000
4|2|516|5157791|1000000
4|2|464|4637127|1000000
4|2|506|5062248|1000000
4|2|457|4567244|1000000
4|2|516|5165428|1000000
4|2|460|4592291|1000000
4|2|520|5207665|1000000
4|2|497|4963294|1000000
4|2|529|5289937|1000000
4|2|496|4967667|1000000
4|2|566|5659985|1000000
4|2|495|4948860|1000000
4|2|517|5165739|1000000
4|2|462|4624687|1000000
4|2|509|5081876|1000000
4|2|466|4664723|1000000
4|2|510|5100132|1000000
4|2|478|4780998|1000000
4|2|532|5317222|1000000
4|2|457|4568510|1000000
4|2|501|5009054|1000000
4|2|457|4575318|1000000
4|2|510|5098275|1000000
4|2|471|4713693|1000000
4|2|520|5195624|1000000
4|2|477|4772549|1000000
4|2|508|5078598|1000000
4|2|467|4667053|1000000
4|2|512|5124828|1000000
4|2|476|4759400|1000000
4|2|507|5063549|1000000
5|1|928|9282494|1000000
5|1|969|9689715|1000000
5|1|888|8879241|1000000
5|1|944|9442322|1000000
5|1|912|9123536|1000000
5|1|1163|11624500|1000000
5|1|1011|10116416|1000000
5|1|1013|10123347|1000000
5|1|1059|10597627|1000000
5|1|968|9679468|1000000
5|1|964|9636152|1000000
5|1|1071|10711401|1000000
5|1|880|8801006|1000000
5|1|952|9515903|1000000
5|1|894|8943786|1000000
5|1|986|9860998|1000000
5|1|1024|10239285|1000000
5|1|1000|9999357|1000000
5|1|921|9208665|1000000
5|1|976|9756615|1000000
5|1|1073|10732471|1000000
5|1|959|9594141|1000000
5|1|926|9251620|1000000
5|1|946|9463539|1000000
5|1|910|9105093|1000000
5|1|995|9950793|1000000
5|1|1070|10698720|1000000
5|1|1004|10033036|1000000
5|1|1028|10286016|1000000
5|1|974|9737518|1000000
5|1|879|8790374|1000000
5|1|921|9213868|1000000
5|1|902|9018512|1000000
5|1|942|9416892|1000000
5|1|894|8936499|1000000
5|1|967|9674103|1000000
5|1|916|9161499|1000000
5|1|952|9514603|1000000
5|1|898|8983671|1000000
5|1|928|9279915|1000000
5|1|882|8818612|1000000
5|1|963|9629740|1000000
5|1|880|8801669|1000000
5|1|998|9980920|1000000
5|1|945|9454051|1000000
5|1|1035|10349925|1000000
5|1|897|8960897|1000000
5|1|928|9280812|1000000
5|1|905|9055383|1000000
